tender_id,name,organization,location,submission_deadline,initiation_date,details_url,original_source_url,original_source_type,found_in_section
400078-2025,"Germany – Construction work – Rudolstadt, Schloss Heidecksburg, Sanierung Dach Westflügel, Schlossturm/Objektsicherheit und Brandschutz - Los 01 Reinigungsarbeiten - Dunkles Treppenhaus",Stiftung Thüringer Schlösser und Gärten,Germany,2025-07-22 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400078-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,Vergabebedingungen / Tender Conditions
400229-2025,Germany – Electricity – Stromausschreibung Anstalt für kommunale Datenverarbeitung in Bayern (AKDB) 2026,"Anstalt für Kommunale Datenverarbeitung in Bayern, vertreten durch die KUBUS GmbH",Germany,2025-07-22 13:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400229-2025,https://bieterzugang.deutsche-evergabe.de/evergabe.bieter/api/supplier/external/deeplink/subproject/27a1df86-7bad-4db4-a7d3-e51aa7b40b25,procurement_platform_bieterzugang.deutsche-evergabe.de,Vergabeunterlagen / Tender Documents
400069-2025,Germany – Dressings – Verbandmittel-Verträge ab 01.08.2025 im Rahmen eines Open-House-Verfahrens,AOK NordWest,Germany,2027-06-30 17:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400069-2025,https://www.dtvp.de/Satellite/notice/CXP4Y6L5KPS/documents,unknown_platform_www.dtvp.de,Vergabeunterlagen / Tender Documents
400188-2025,Germany – Installation of shutters – Verdunklungsarbeiten - Erweiterung Schulzentrum Steinlach-Wiesaz in Dußlingen,Gemeindeverwaltungsverband Steinlach Wiesaz,Germany,2025-07-30 12:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400188-2025,https://www.subreport.de/E66155834,subreport,Vergabeunterlagen / Tender Documents
400147-2025,"Germany – Technical planning services – Begutachtung demontierter Stahlbauteile, GLEISHALLE OLDENBURG",DB InfraGO AG – Geschäftsbereich Personenbahnhöfe (Bukr 11),Germany,2025-07-21 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400147-2025,https://bieterportal.noncd.db.de/evergabe.bieter/api/supplier/external/subproject/77c01d7f-d15f-4e51-bc87-9b8839e5c523/suitabilitycriteria,potential_platform_bieterportal.noncd.db.de,Vergabeunterlagen / Tender Documents
400497-2025,Germany – Roof insulation work – Magistrat der Stadt Bad Hersfeld - Stadt- und Kreisarchiv,Magistrat der Stadt Bad Hersfeld,Germany,2025-07-08 08:59,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400497-2025,https://www.subreport.de/E18171938,subreport,Vergabeunterlagen / Tender Documents
400730-2025,"Germany – Petroleum products, fuel, electricity and other sources of energy – EU-weite Ausschreibung der Lieferung von Erdgas für den Eigenbetrieb Rhein-Lahn-Kreis Abfallwirtschaft",Rhein-Lahn-Kreis Abfallwirtschaft,Germany,2025-07-22 11:30,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400730-2025,https://www.subreport.de/service/support-elvis,subreport,Vergabeunterlagen / Tender Documents
400733-2025,"Germany – Metalworking – Weiterentwicklung BBZ Ettlingen- 2. BA Neubau, Metallbauarbeiten Türen","Landratsamt Karlsruhe, Amt für Gebäudemanagement, Bauverwaltung",Germany,,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400733-2025,https://www.vergabe24.de,vergabe24,Vergabeunterlagen / Tender Documents
400677-2025,"Germany – Architectural services for buildings – Fachplanung Denkmalpflege, Pina Bausch Zentrum Wuppertal",Stadt Wuppertal,Germany,2025-07-04 09:45,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400677-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,Vergabebedingungen / Tender Conditions
400717-2025,Germany – Photocopying and thermocopying equipment – Bereitstellung von Multifunktionsgeräten inkl. Full- Service im Mietmodell,"HAW Hamburg, ITSC-Vergabestelle",Germany,2025-07-21 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400717-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,Vergabebedingungen / Tender Conditions
400773-2025,Germany – Construction work – Schadstoffsanierung Innenräume Schloss Cecilienhof,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Germany,,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400773-2025,https://vergabemarktplatz.brandenburg.de/VMPCenter/company/welcome.do,brandenburg_gov_vergabemarktplatz.brandenburg.de,Vergabeunterlagen / Tender Documents
400936-2025,Germany – Construction work for swimming pool – Stadt Lüchow (Wendland) - Umbau ehemaliges Freibad zum Naturfreibad_Los 6 Schwimmbadausstattung,Stadt Lüchow (Wendland),Germany,2025-07-22 09:30,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400936-2025,http://www.vergabe.niedersachsen.de,niedersachsen_vergabe,Vergabeunterlagen / Tender Documents
401088-2025,Germany – Petroleum and distillates – RV Kraftstoffe,Thüringer Landesamt für Landwirtschaft und Ländlichen Raum,Germany,2025-07-22 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401088-2025,https://www.evergabe-online.de/tenderdocuments.html?id=781387,evergabe_online,Weitere Informationen / Further Information
401096-2025,Germany – Forestry services – Offenes Verfahren (EU-weit) zur Vergabe von Dienstleistungen für Offenlandpflege / Heidepflege auf kampfmittelbelasteten Flächen im Bundesforstbetrieb Lausitz -VOEK 649-24,Bundesanstalt für Immobilienaufgaben,Germany,,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401096-2025,http://www.evergabe-online.de,evergabe_online,Vergabeunterlagen / Tender Documents
401095-2025,"Germany – Other electrical installation work – Kulturanum neu gestimmt - Los 42 - Mess-, Steuer- und Regeltechnik",Kommunale Immobilien Jena - Bereich Baumanagement,Germany,,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401095-2025,https://landesverwaltungsamt.thueringen.de/wirtschaft/vergabekammer,thueringen_vergabe,Vergabeunterlagen / Tender Documents
400966-2025,Germany – Engineering services – Planungsleistungen Inspizientenanlage Deutsches Theater Göttingen,Stadt Göttingen,Germany,2025-07-21 12:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400966-2025,https://www.dtvp.de/Satellite/notice/CXP4YBC5XMA/documents,unknown_platform_www.dtvp.de,Vergabeunterlagen / Tender Documents
401280-2025,"Germany – Architectural, construction, engineering and inspection services – Orientierungsplanung und Beratungsleistungen für Theater- und Bühnenbauten","Stadt Frankfurt am Main, Stabsstelle Zukunft der städtischen Bühnen Frankfurt",Germany,2025-07-22 12:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401280-2025,https://vergabe.stadt-frankfurt.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-19744e91cb7-218d0ae2b24ed31,procurement_platform_vergabe.stadt-frankfurt.de,Vergabeunterlagen / Tender Documents
401233-2025,"Germany – Demolition, site preparation and clearance work – Rückbaumaßnahmen (Los 3)",Kulturstiftung Dessau-Wörlitz,Germany,,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401233-2025,,TED E2NOTICE,
